
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
74:DA:DA:C3:CF:E2, 2020-11-26 20:46:56, 2020-11-26 20:46:56,  9, 270, WPA2, CCMP TKIP, PSK, -86,        1,        0,   0.  0.  0.  0,  15, D-Link_DAP-1360, 
78:C1:A7:3E:F4:B2, 2020-11-26 20:46:56, 2020-11-26 20:46:56, 10, 270, WPA2, CCMP TKIP, PSK, -86,        2,        0,   0.  0.  0.  0,  11, CofeeAvenue, 
74:9D:79:24:FF:B9, 2020-11-26 20:46:56, 2020-11-26 20:47:00, 10, 270, OPN, ,   , -84,        3,        0,   0.  0.  0.  0,  16, COSMOTE WiFi Fon, 
74:9D:79:24:FF:B6, 2020-11-26 20:46:54, 2020-11-26 20:47:00, 10, 270, WPA2, CCMP TKIP, PSK, -81,        3,       17,   0.  0.  0.  0,   5, nikos, 
90:FD:73:BA:7A:BB, 2020-11-26 20:46:55, 2020-11-26 20:46:59,  8, 130, WPA2, CCMP TKIP, PSK, -84,        3,        0,   0.  0.  0.  0,  16, WIND_2.4G_BA7ABB, 
F4:30:B9:21:49:D6, 2020-11-26 20:46:55, 2020-11-26 20:47:00,  3,  65, WPA2, CCMP, PSK, -78,        8,        0,   0.  0.  0.  0,  32, DIRECT-D5-HP DeskJet 4530 series, 
18:D6:C7:46:CA:04, 2020-11-26 20:46:54, 2020-11-26 20:47:00, 10, 130, WPA2, CCMP TKIP, PSK, -80,        6,        3,   0.  0.  0.  0,   5, nikos, 
74:9D:79:68:55:1C, 2020-11-26 20:46:57, 2020-11-26 20:47:01,  5, 130, WPA, TKIP, PSK, -79,        4,        0,   0.  0.  0.  0,  13, VODAFONE_1974, 
20:B0:01:A2:94:41, 2020-11-26 20:46:56, 2020-11-26 20:47:01, 11, 130, WPA2, CCMP, PSK, -85,        5,        0,   0.  0.  0.  0,  16, WIND_2.4G_A29441, 
10:0D:7F:26:BE:28, 2020-11-26 20:46:57, 2020-11-26 20:47:00,  6,  -1, WPA, ,   , -73,        0,       21,   0.  0.  0.  0,   0, , 
5C:D9:98:BB:9D:08, 2020-11-26 20:46:57, 2020-11-26 20:47:01,  6, 130, WPA2, CCMP TKIP, PSK, -77,        4,        0,   0.  0.  0.  0,   7, T973517, 
94:4A:0C:2E:40:D9, 2020-11-26 20:46:57, 2020-11-26 20:46:57, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -70,        5,        0,   0.  0.  0.  0,   9, OTE2E40D9, 
CC:2D:E0:0F:C4:EE, 2020-11-26 20:46:55, 2020-11-26 20:47:00,  3, 270, WPA2 WPA, CCMP, PSK, -69,       13,       19,   0.  0.  0.  0,  12, nplc 2.4 GHz, 
50:78:B3:9F:65:18, 2020-11-26 20:46:55, 2020-11-26 20:46:59,  3, 130, WPA2, CCMP TKIP, PSK, -69,        5,        0,   0.  0.  0.  0,   8, cyta1658, 
70:4F:57:DD:B8:69, 2020-11-26 20:46:54, 2020-11-26 20:47:01,  6, 130, WPA2, CCMP, PSK, -47,       12,        0,   0.  0.  0.  0,   0, , 
E4:26:86:0B:08:B6, 2020-11-26 20:46:57, 2020-11-26 20:46:57,  5,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
EC:F0:FE:BC:64:3B, 2020-11-26 20:46:59, 2020-11-26 20:46:59,  3,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
28:FF:3E:38:72:C2, 2020-11-26 20:47:00, 2020-11-26 20:47:00, 10, 130, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,  16, Wind WiFi u7YQrP, 
78:C1:A7:28:8A:B6, 2020-11-26 20:47:00, 2020-11-26 20:47:00,  5, 130, WPA2, CCMP TKIP, PSK, -87,        1,        0,   0.  0.  0.  0,  19, Vodafone_2.4G-02801, 
E0:0E:E4:C6:B2:44, 2020-11-26 20:47:00, 2020-11-26 20:47:01, 11, 130, WPA2, CCMP TKIP, PSK, -73,        1,       34,   0.  0.  0.  0,  15, araXninja Xniar, 
8C:53:C3:62:8F:ED, 2020-11-26 20:47:01, 2020-11-26 20:47:01, 11, 130, WPA2, CCMP TKIP, PSK, -87,        1,        0,   0.  0.  0.  0,  20, araXninja Xniar_plus, 
24:58:6E:9E:3A:B4, 2020-11-26 20:47:01, 2020-11-26 20:47:01, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
1A:D6:C7:59:29:CB, 2020-11-26 20:46:56, 2020-11-26 20:46:56, -85,        1, 74:9D:79:24:FF:B6,
88:9E:33:85:E8:11, 2020-11-26 20:46:57, 2020-11-26 20:47:01, -76,       16, 74:9D:79:68:55:1C,
